SEED	functions_L1	functions_L2	functions_L3
seed1945	L1_Cell Wall and Capsule	L2_Exopolysaccharide Biosynthesis	L3_Lipopolysaccharide cholinephosphotransferase LicD3 (EC 2.7.8.-)
seed1946	L1_Cell Wall and Capsule	L2_Exopolysaccharide Biosynthesis	L3_Putative uncharacterized protein in cluster with two glycosyl transferases
seed1947	L1_Cell Wall and Capsule	L2_Exopolysaccharide Biosynthesis	L3_Tyrosine-protein kinase EpsD (EC 2.7.10.2)
seed1948	L1_Cell Wall and Capsule	L2_Exopolysaccharide Biosynthesis	L3_Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)
seed1949	L1_Cell Wall and Capsule	L2_Extracellular Polysaccharide Biosynthesis of Streptococci	"L3_Membrane protein CarB involved in the export of O-antigen and teichoic acid, Streptococci specific"
seed1950	L1_Cell Wall and Capsule	L2_Extracellular Polysaccharide Biosynthesis of Streptococci	L3_Polysaccharide biosynthesis glycosyl transferase CpsO
seed1951	L1_Cell Wall and Capsule	L2_Inner membrane protein YhjD and conserved cluster involved in LPS biosynthesis	L3_LysR family transcriptional regulator YhjC
seed1952	L1_Cell Wall and Capsule	L2_Inner membrane protein YhjD and conserved cluster involved in LPS biosynthesis	"L3_Protein YhjJ, putative peptidase"
seed1953	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)
seed1954	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)
seed1955	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)
seed1956	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Arabinose 5-phosphate isomerase (EC 5.3.1.13)
seed1957	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Lipid A biosynthesis (KDO) 2-(lauroyl)-lipid IVA acyltransferase (EC 2.3.1.-)
seed1958	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)
seed1959	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Lipid A export ATP-binding/permease protein MsbA
seed1960	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Lipid-A-disaccharide synthase (EC 2.4.1.182)
seed1961	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	"L3_Lipopolysaccharide ABC transporter, ATP-binding protein LptB"
seed1962	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_LPS-assembly lipoprotein RlpB precursor (Rare lipoprotein B)
seed1963	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	"L3_LptA, protein essential for LPS transport across the periplasm"
seed1964	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	"L3_Predicted hydrolase of the metallo-beta-lactamase superfamily, clustered with KDO2-Lipid A biosynthesis genes"
seed1965	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Protein of unknown function DUF1009 clustered with KDO2-Lipid A biosynthesis genes
seed1966	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_regulator of length of O-antigen component of lipopolysaccharide chains
seed1967	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	"L3_Ser/Thr protein phosphatase family protein, UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) homolog"
seed1968	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)
seed1969	L1_Cell Wall and Capsule	L2_KDO2-Lipid A biosynthesis	L3_UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
seed1970	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE
seed1971	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Legionaminic acid biosynthesis protein PtmA
seed1972	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Legionaminic acid biosynthesis protein PtmF
seed1973	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Legionaminic acid biosynthesis protein PtmG
seed1974	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Legionaminic acid cytidylyltransferase (EC 2.7.7.43)
seed1975	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_Legionaminic acid synthase (EC 2.5.1.56)
seed1976	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	L3_UDP-Bac2Ac4Ac hydrolyzing 2-epimerase NeuC homolog
seed1977	L1_Cell Wall and Capsule	L2_Legionaminic Acid Biosynthesis	"L3_UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)"
seed1978	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Fe(2+)/alpha-ketoglutarate-dependent dioxygenase LpxO
seed1979	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Lipid A 3-O-deacylase
seed1980	L1_Cell Wall and Capsule	L2_Lipid A modifications	"L3_Lipid A acylation protein PagP, palmitoyltransferase"
seed1981	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Phosphoethanolamine transferase EptA specific for the 1 phosphate group of core-lipid A
seed1982	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Phosphoethanolamine transferase specific for the outer Kdo residue of lipopolysaccharide
seed1983	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Sensor protein basS/pmrB (EC 2.7.3.-)
seed1984	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Sensor protein PhoQ (EC 2.7.13.3)
seed1985	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Transcriptional regulatory protein basR/pmrA
seed1986	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_Transcriptional regulatory protein PhoP
seed1987	L1_Cell Wall and Capsule	L2_Lipid A modifications	L3_UPF0141 membrane protein YijP possibly required for phosphoethanolamine modification of lipopolysaccharide
seed1988	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	"L3_Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)"
seed1989	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	"L3_Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase"
seed1990	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_Polymyxin resistance protein PmrD
seed1991	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_Polymyxin resistance protein PmrG
seed1992	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	"L3_Polymyxin resistance protein PmrJ, predicted deacetylase"
seed1993	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	"L3_Polymyxin resistance protein PmrL, sucrose-6 phosphate hydrolase"
seed1994	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_Polymyxin resistance protein PmrM
seed1995	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13)
seed1996	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.-)
seed1997	L1_Cell Wall and Capsule	L2_Lipid A-Ara4N pathway ( Polymyxin resistance )	L3_UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating) (EC 1.1.1.305)
seed1998	L1_Cell Wall and Capsule	L2_Lipid-linked oligosaccharide synthesis related cluster	L3_Cytoplasmic membrane protein FsxA
seed1999	L1_Cell Wall and Capsule	L2_Lipid-linked oligosaccharide synthesis related cluster	L3_Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
seed2000	L1_Cell Wall and Capsule	L2_Lipid-linked oligosaccharide synthesis related cluster	L3_Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster
seed2001	L1_Cell Wall and Capsule	L2_Lipid-linked oligosaccharide synthesis related cluster	L3_FIG00820327: hypothetical protein
seed2002	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	L3_HtrA protease/chaperone protein
seed2003	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	L3_Outer membrane chaperone Skp (OmpH) precursor
seed2004	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	L3_Outer membrane lipoprotein LolB precursor
seed2005	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	"L3_Outer membrane protein NlpB, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and YfgL)"
seed2006	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	L3_Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)
seed2007	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	"L3_Uncharacterized ABC transporter, periplasmic component YrbD"
seed2008	L1_Cell Wall and Capsule	L2_Lipopolysaccharide assembly	L3_Uncharacterized protein YrbK clustered with lipopolysaccharide transporters
seed2009	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	L3_FIG043197: Inositol monophosphatase family protein
seed2010	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	L3_FIG062860: Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
seed2011	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	L3_FIG081201: hypothetical protein
seed2012	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	L3_FIG146212: Enoyl-CoA hydratase (EC 4.2.1.17)
seed2013	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	L3_Protein of unknown function DUF374
seed2014	L1_Cell Wall and Capsule	L2_Lipopolysaccharide-related cluster in Alphaproteobacteria	"L3_Uncharacterized protein, Bsl7517 homolog"
seed2015	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)
seed2016	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)
seed2017	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Beta-1,3-glucosyltransferase"
seed2018	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Beta-1,4-galactosyltransferase"
seed2019	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_D-glycero-beta-D-manno-heptose 7-phosphate kinase
seed2020	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Heptosyltransferase family protein, lipopolysaccharide core biosynthesis"
seed2021	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)"
seed2022	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Lipopolysaccharide 1,6-galactosyltransferase (EC 2.4.1.-)"
seed2023	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Lipopolysaccharide core biosynthesis glycosyltransferase, group 2 family protein (EC 2.4.1.-)"
seed2024	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Lipopolysaccharide core biosynthesis protein RfaS
seed2025	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Lipopolysaccharide core biosynthesis protein RfaY
seed2026	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Lipopolysaccharide core biosynthesis protein RfaZ
seed2027	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_Lipopolysaccharide core biosynthesis protein WaaP (EC 2.7.-.-), heptosyl-I-kinase"
seed2028	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)
seed2029	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Lipopolysaccharide heptosyltransferase III (EC 2.4.1.-)
seed2030	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_O-antigen ligase
seed2031	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	L3_Putative two-domain glycosyltransferase
seed2032	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_UDP-galactose:(galactosyl) LPS alpha1,2-galactosyltransferase WaaW (EC 2.4.1.-)"
seed2033	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)"
seed2034	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,3-glucosyltransferase WaaO (EC 2.4.1.-)"
seed2035	L1_Cell Wall and Capsule	L2_LOS core oligosaccharide biosynthesis	"L3_UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG (EC 2.4.1.-)"
seed2036	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Integral membrane protein YfiB
seed2037	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Nucleoside-specific channel-forming protein Tsx precursor
seed2038	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Osmolarity sensory histidine kinase EnvZ
seed2039	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Outer membrane protein A precursor
seed2040	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Outer membrane protein C precursor
seed2041	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Outer membrane protein OmpK
seed2042	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Protease VII (Omptin) precursor (EC 3.4.23.49)
seed2043	L1_Cell Wall and Capsule	L2_Major Outer Membrane Proteins	L3_Two-component system response regulator OmpR
seed2044	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Beta N-acetyl-glucosaminidase (EC 3.2.1.52)
seed2045	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
seed2046	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Membrane-bound lytic murein transglycosylase B (EC 3.2.1.-)
seed2047	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)
seed2048	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)
seed2049	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)
seed2050	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)
seed2051	L1_Cell Wall and Capsule	L2_Murein Hydrolases	L3_Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)
seed2052	L1_Cell Wall and Capsule	L2_Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)	"L3_ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, ATP-binding protein DrrA-like"
seed2053	L1_Cell Wall and Capsule	L2_Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)	"L3_Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD26"
seed2054	L1_Cell Wall and Capsule	L2_Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)	L3_Phenolpthiocerol synthesis type-I polyketide synthase PpsB (EC 2.3.1.41)
seed2055	L1_Cell Wall and Capsule	L2_Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)	L3_Phenolpthiocerol synthesis type-I polyketide synthase PpsD
seed2056	L1_Cell Wall and Capsule	L2_mycolic acid synthesis	L3_3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
seed2057	L1_Cell Wall and Capsule	L2_mycolic acid synthesis	L3_Acyl carrier protein
seed2058	L1_Cell Wall and Capsule	L2_mycolic acid synthesis	L3_Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)
seed2059	L1_Cell Wall and Capsule	L2_mycolic acid synthesis	L3_Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
seed2060	L1_Cell Wall and Capsule	L2_mycolic acid synthesis	L3_POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE)
seed2061	L1_Cell Wall and Capsule	L2_Mycolic acid synthesis 2	"L3_Cyclopropane-fatty-acyl-phospholipid synthase 2, CmaA2 (EC 2.1.1.79)"
seed2062	L1_Cell Wall and Capsule	L2_Mycolic acid synthesis 2	L3_Cyclopropane-fatty-acyl-phospholipid synthase PcaA (EC 2.1.1.79)
seed2063	L1_Cell Wall and Capsule	L2_Mycolic acid synthesis 2	L3_Methoxy mycolic acid synthase MmaA2 (EC 2.1.1.79)
seed2064	L1_Cell Wall and Capsule	L2_Mycolic acid synthesis 2	L3_Methoxy mycolic acid synthase MmaA3 (EC 2.1.1.79)
seed2065	L1_Cell Wall and Capsule	L2_O-Methyl Phosphoramidate Capsule Modification in Campylobacter	L3_Putative amidotransferase (Type 1 glutamine amidotransferase - GATase1)
seed2066	L1_Cell Wall and Capsule	L2_O-Methyl Phosphoramidate Capsule Modification in Campylobacter	L3_Putative sugar nucleotidyltransferase
seed2067	L1_Cell Wall and Capsule	L2_O-Methyl Phosphoramidate Capsule Modification in Campylobacter	L3_Pyruvate phosphate dikinase
seed2068	L1_Cell Wall and Capsule	L2_Outer membrane	L3_Outer membrane protein G precursor
seed2069	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_D-alanine--D-alanine ligase (EC 6.3.2.4)
seed2070	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_D-alanine--D-alanine ligase A (EC 6.3.2.4)
seed2071	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_D-alanine--D-alanine ligase B (EC 6.3.2.4)
seed2072	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
seed2073	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)
seed2074	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
seed2075	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Murein-DD-endopeptidase (EC 3.4.99.-)
seed2076	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)
seed2077	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)
seed2078	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Penicillin-binding protein 2 (PBP-2)
seed2079	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	"L3_Penicillin-binding protein PBP2a, methicillin resistance determinant MecA, transpeptidase"
seed2080	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C
seed2081	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
seed2082	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_Rare lipoprotein A precursor
seed2083	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)
seed2084	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
seed2085	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)
seed2086	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)
seed2087	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	L3_UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
seed2088	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	"L3_UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
seed2089	L1_Cell Wall and Capsule	L2_Peptidoglycan Biosynthesis	"L3_UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)"
seed2090	L1_Cell Wall and Capsule	L2_Peptidoglycan biosynthesis--gjo	L3_UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
seed2091	L1_Cell Wall and Capsule	L2_Peptidoglycan biosynthesis--gjo	"L3_UDP-N-acetylmuramoylalanyl-D-glutamate--L,L-2,6-diaminopimelate ligase"
seed2092	L1_Cell Wall and Capsule	L2_Peptidoglycan biosynthesis--gjo	L3_UDP-N-acetylmuramoylalanyl-D-glutamate--L-diaminobutyrate ligase
seed2093	L1_Cell Wall and Capsule	L2_Peptidoglycan biosynthesis--gjo	L3_UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)
seed2094	L1_Cell Wall and Capsule	L2_Peptidoglycan biosynthesis--gjo	L3_UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase
seed2095	L1_Cell Wall and Capsule	L2_Peptidoglycan Crosslinking of Peptide Stems	"L3_L,D-transpeptidase ErfK"
seed2096	L1_Cell Wall and Capsule	L2_Peptidoglycan Crosslinking of Peptide Stems	"L3_L,D-transpeptidase YbiS"
seed2097	L1_Cell Wall and Capsule	L2_Peptidoglycan Crosslinking of Peptide Stems	"L3_L,D-transpeptidase YcbB"
seed2098	L1_Cell Wall and Capsule	L2_Peptidoglycan Crosslinking of Peptide Stems	"L3_L,D-transpeptidase YnhG"
seed2099	L1_Cell Wall and Capsule	L2_Peptidoglycan Crosslinking of Peptide Stems	L3_Penicillin-binding protein AmpH
seed2100	L1_Cell Wall and Capsule	L2_Phosphorylcholine incorporation in LPS	L3_Choline kinase (EC 2.7.1.32)
seed2101	L1_Cell Wall and Capsule	L2_Phosphorylcholine incorporation in LPS	L3_Choline permease LicB
seed2102	L1_Cell Wall and Capsule	L2_Phosphorylcholine incorporation in LPS	L3_Cholinephosphate cytidylyltransferase (EC 2.7.7.15)
seed2103	L1_Cell Wall and Capsule	L2_Phosphorylcholine incorporation in LPS	L3_Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-)
seed2104	L1_Cell Wall and Capsule	L2_Phosphorylcholine incorporation in LPS	L3_Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)
seed2105	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	"L3_Glycosyltransferase LafA, responsible for the formation of Glc-DAG"
seed2106	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	"L3_Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG"
seed2107	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	"L3_Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis"
seed2108	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid primase LtaP
seed2109	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type Ia
seed2110	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type Ib
seed2111	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIa
seed2112	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIb
seed2113	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIc
seed2114	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIIa
seed2115	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIIb1
seed2116	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IIIb2
seed2117	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IVa
seed2118	L1_Cell Wall and Capsule	L2_Polyglycerolphosphate lipoteichoic acid biosynthesis	L3_Lipoteichoic acid synthase LtaS Type IVb
seed2119	L1_Cell Wall and Capsule	L2_Polysaccharide deacetylases	L3_Peptidoglycan N-acetylglucosamine deacetylase (EC 3.5.1.-)
seed2120	L1_Cell Wall and Capsule	L2_Polysaccharide deacetylases	L3_Polysaccharide deacetylase
seed2121	L1_Cell Wall and Capsule	L2_Polysaccharide deacetylases	L3_Polysaccharide intercellular adhesin (PIA) biosynthesis deacetylase IcaB (EC 3.-.-.-)
seed2122	L1_Cell Wall and Capsule	L2_Pseudaminic Acid Biosynthesis	"L3_C4 aminotransferase specific for PseB product (PseC, second step of pseudaminic acid biosynthesis)"
seed2123	L1_Cell Wall and Capsule	L2_Pseudaminic Acid Biosynthesis	"L3_Pseudaminic acid biosynthesis protein PseA, possible Pse5Ac7Ac acetamidino synthase"
seed2124	L1_Cell Wall and Capsule	L2_Pseudaminic Acid Biosynthesis	L3_Pseudaminic acid cytidylyltransferase (EC 2.7.7.43)
seed2125	L1_Cell Wall and Capsule	L2_Pseudaminic Acid Biosynthesis	L3_Pseudaminic acid synthase (EC 4.1.3.-)
seed2126	L1_Cell Wall and Capsule	L2_Pseudaminic Acid Biosynthesis	"L3_UDP-N-acetylglucosamine 4,6-dehydratase (inverting) (EC 4.2.1.115)"
seed2127	L1_Cell Wall and Capsule	L2_Recycling of Peptidoglycan Amino Acids	L3_Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)
