sampleID	label	Detailed_location	include	PlantExperimentDetails	Location	Room_location	PlantExperiment	Department	Time_point	detail_Control	Live_dead	study	Confinement	Confinement_Numerisch
OP_T2.30.1	OP_T2.30.1	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.30.2	OP_T2.30.2	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.31.1	OP_T2.31.1	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.31.2	OP_T2.31.2	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.32.1	OP_T2.32.1	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.32.2	OP_T2.32.2	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.33.1	OP_T2.33.1	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.33.2	OP_T2.33.2	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.34.1	OP_T2.34.1	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.34.2	OP_T2.34.2	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T2.35.1	OP_T2.35.1	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t2	Sample_OP	DNA	resistome	Level_1	1
OP_T2.35.2	OP_T2.35.2	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t2	Sample_OP	PMA	resistome	Level_1	1
OP_T3.26.1	OP_T3.26.1	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.26.2	OP_T3.26.2	floor_1m2	1	OP	floor	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.27.1	OP_T3.27.1	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.27.2	OP_T3.27.2	"areas_around_keyboard_1,_PC_on_the_right"	1	OP	areas_around_keyboard	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.28.1	OP_T3.28.1	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.28.2	OP_T3.28.2	Swivel_system_devices_on_the_left	1	OP	Swivel_system_devices	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.29.1	OP_T3.29.1	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.29.2	OP_T3.29.2	Remote_Control_and_Surface_DrÌ?ger_on_the_right_behind_the_1st_PC	1	OP	Remote_Control_and_Surface	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.30.1	OP_T3.30.1	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.30.2	OP_T3.30.2	Syringe_cart_on_the_front_left_side	1	OP	Syringe_cart	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.31.1	OP_T3.31.1	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.31.2	OP_T3.31.2	Keyboard_palm_rest_on_the_right_next_to_wall	1	OP	Keyboard_palm_rest	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.32.1	OP_T3.32.1	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.32.2	OP_T3.32.2	Surgical_lighthead_back_on_the_left	1	OP	Surgical_lighthead	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.33.1	OP_T3.33.1	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.33.2	OP_T3.33.2	Door_opening_buttons	1	OP	Door_opening_buttons	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.34.1	OP_T3.34.1	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.34.2	OP_T3.34.2	Vacuum_suction_device_on_th_right_next_to_patient	1	OP	Vacuum_suction_device	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
OP_T3.35.1	OP_T3.35.1	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t3	Sample_OP	DNA	resistome	Level_1	1
OP_T3.35.2	OP_T3.35.2	Touchscreen_Infinity_C500_behind_1st_PC_on_the_right	1	OP	Touchscreen_Infinity_C500	Operating_room	OP	Operating_room	t3	Sample_OP	PMA	resistome	Level_1	1
